datetime,data
27-03-2021 13:57:18,"0.03,0.2,0.01,0.11,0.13,0.0,4.99,0.04,0.05,0.08,9.7,2.82,0.01,0.01,1151.9,67.35"
27-03-2021 13:57:22,"0.05,0.09,0.01,0.12,0.02,0.01,4.98,0.01,0.03,0.15,16.4,3.95,0.01,0.06,1237.67,68.65"
27-03-2021 13:57:27,"0.01,0.2,0.01,0.12,0.0,0.01,4.99,0.02,0.05,0.05,1512.33,5.46,0.02,0.09,177.18,0.32"
27-03-2021 13:57:32,"0.02,0.17,0.01,0.11,0.02,0.02,5.0,0.02,0.04,0.08,1557.28,6.0,0.02,0.03,7.75,0.27"
27-03-2021 13:57:36,"0.02,0.24,0.01,0.1,0.02,0.01,4.99,0.02,0.05,0.09,603.62,6.63,0.02,0.12,992.34,1.82"
27-03-2021 13:57:40,"0.02,0.08,0.01,0.1,0.17,0.0,5.0,0.01,0.03,0.09,47.72,2.24,0.02,0.07,1958.6,14.64"
27-03-2021 13:57:45,"0.01,0.14,0.0,0.11,0.07,0.0,4.99,0.01,0.04,0.13,92.36,3.42,0.02,0.04,1861.64,10.2"
27-03-2021 13:57:49,"0.01,0.19,0.01,0.11,0.03,0.01,5.0,0.01,0.06,0.01,914.27,16.15,0.02,0.03,50.25,0.56"
27-03-2021 13:57:53,"0.13,0.18,0.02,0.09,0.0,0.01,4.48,0.01,0.71,67.48,506.13,0.04,0.07,7.39,8.82,0.66"
27-03-2021 13:57:57,"0.11,0.14,0.02,0.1,0.07,0.0,3.11,0.02,1.94,60.33,265.92,0.36,0.09,4.7,1.12,0.63"
27-03-2021 13:58:02,"0.1,0.2,0.04,0.11,0.13,0.01,5.05,0.01,1.62,86.03,280.27,0.02,0.08,7.82,0.24,0.68"
27-03-2021 13:58:07,"0.1,0.15,0.01,0.1,0.09,0.01,5.02,0.01,1.81,110.19,143.26,0.01,0.09,8.12,0.94,0.7"
27-03-2021 13:58:11,"0.88,1.33,0.0,0.09,81.34,61.76,5.05,0.01,1.76,1.16,0.09,0.01,0.09,0.04,4.02,0.66"
27-03-2021 13:58:15,"0.38,0.06,0.02,0.1,120.22,45.8,5.05,0.01,0.42,0.04,0.12,0.01,0.06,0.06,4.65,0.6"
27-03-2021 13:58:19,"0.58,0.06,0.0,0.08,185.06,30.52,5.04,0.01,0.24,0.05,0.33,0.0,0.04,0.03,4.87,0.65"
27-03-2021 13:58:24,"2.02,0.04,0.02,0.1,0.87,26.95,5.05,0.01,16.05,7.79,0.35,0.02,0.09,0.08,5.16,0.62"
27-03-2021 13:58:29,"0.28,0.05,0.02,0.09,1.0,24.57,5.04,0.0,26.37,3.26,0.05,0.03,0.54,0.28,5.56,0.59"
27-03-2021 13:58:33,"0.27,0.06,0.0,0.14,0.9,24.38,5.03,0.0,24.45,0.98,0.12,0.03,0.39,0.19,5.84,0.51"
27-03-2021 13:58:37,"0.24,0.01,0.03,0.12,0.66,21.81,5.04,0.0,28.17,4.51,0.1,0.03,0.29,0.43,5.68,0.56"
27-03-2021 13:58:42,"0.71,5.63,41.23,0.71,0.52,31.32,5.75,0.29,0.39,0.04,0.07,0.05,0.0,0.33,6.1,0.45"
27-03-2021 13:58:46,"0.39,0.08,58.37,6.13,0.45,23.06,5.98,0.35,0.32,0.02,0.03,0.05,0.01,0.28,6.35,0.37"
27-03-2021 13:58:50,"0.49,0.06,57.7,8.05,0.48,23.54,5.98,0.34,0.28,0.09,0.21,0.05,0.02,0.27,5.87,0.46"
27-03-2021 13:58:55,"0.39,2.29,45.1,8.76,0.47,37.9,5.98,0.34,0.26,0.02,0.16,0.05,0.01,0.37,5.75,0.49"
27-03-2021 13:58:59,"0.65,0.18,54.92,12.61,0.51,20.08,5.97,0.35,0.25,0.1,0.03,0.07,0.0,0.35,5.84,0.4"
27-03-2021 13:59:03,"0.66,0.2,32.83,0.22,0.52,0.01,36.85,0.67,0.24,0.06,0.24,0.05,0.0,0.37,5.71,0.38"
27-03-2021 13:59:09,"0.63,0.23,47.38,0.47,0.54,0.1,29.52,0.4,0.22,0.09,0.3,0.05,0.0,0.35,5.96,0.38"
